County,Value,Rank, FIPS 
"Sioux County, North Dakota","39,755","2,911",38085
"Northampton County, North Carolina","39,764","2,910",37131
"Brooks County, Georgia","39,770","2,908",13027
"Irion County, Texas","39,770","2,908",48235
"Dillon County, South Carolina","39,780","2,907",45033
"Galax City, Virginia","39,808","2,906",51640
"Clay County, Arkansas","39,817","2,905",05021
"Anson County, North Carolina","39,862","2,904",37007
"Scotland County, North Carolina","39,866","2,903",37165
"Alexander County, Illinois","39,871","2,902",17003
"Baca County, Colorado","39,891","2,901",08009
"Elbert County, Georgia","39,904","2,900",13105
"Latimer County, Oklahoma","39,939","2,899",40077
"DeSoto County, Florida","39,945","2,898",12027
"Haywood County, Tennessee","39,952","2,897",47075
"Putnam County, Florida","39,975","2,895",12107
"Sabine Parish, Louisiana","39,975","2,895",22085
"Jasper County, Mississippi","39,992","2,894",28061
"Edwards County, Texas","40,000","2,893",48137
"Yazoo County, Mississippi","40,037","2,892",28163
"Union County, South Carolina","40,048","2,891",45087
"Carter County, Kentucky","40,092","2,890",21043
"Pike County, Alabama","40,106","2,889",01109
"Williamsburg County, South Carolina","40,124","2,888",45089
"Wright County, Missouri","40,179","2,887",29229
"Seminole County, Oklahoma","40,190","2,886",40133
"Pulaski County, Illinois","40,197","2,885",17153
"Covington County, Mississippi","40,233","2,884",28031
"Benton County, Tennessee","40,258","2,883",47005
"McKinley County, New Mexico","40,262","2,882",35031
"Menard County, Texas","40,341","2,881",48327
"Bacon County, Georgia","40,391","2,880",13005
"Tishomingo County, Mississippi","40,394","2,879",28141
"Rockcastle County, Kentucky","40,406","2,878",21203
"St. Clair County, Missouri","40,470","2,877",29185
"Franklin County, Mississippi","40,479","2,876",28037
"Columbus County, North Carolina","40,562","2,875",37047
"Perry County, Kentucky","40,577","2,874",21193
"Seminole County, Georgia","40,579","2,873",13253
"Johnson County, Arkansas","40,628","2,872",05071
"Bennett County, South Dakota","40,664","2,871",46007
"Red River County, Texas","40,674","2,870",48387
"Darlington County, South Carolina","40,704","2,869",45031
"Talbot County, Georgia","40,719","2,868",13263
"Pushmataha County, Oklahoma","40,721","2,867",40127
"Lawrence County, Arkansas","40,746","2,866",05075
"Lake County, Michigan","40,753","2,865",26085
"Van Buren County, Arkansas","40,763","2,864",05141
"McIntosh County, Oklahoma","40,792","2,863",40091
"Grenada County, Mississippi","40,808","2,862",28043
"Knox County, Missouri","40,814","2,861",29103
"Martin County, Kentucky","40,826","2,860",21159
"Clarke County, Mississippi","40,838","2,859",28023
"Grayson County, Kentucky","40,839","2,858",21085
"St. Helena Parish, Louisiana","40,857","2,857",22091
"Tyrrell County, North Carolina","40,938","2,856",37177
"Bent County, Colorado","40,972","2,855",08011
"Montgomery County, Arkansas","41,032","2,854",05097
"Marion County, Arkansas","41,038","2,853",05089
"St. Landry Parish, Louisiana","41,068","2,852",22097
"Summers County, West Virginia","41,077","2,851",54089
"Lenoir County, North Carolina","41,092","2,850",37107
"Oktibbeha County, Mississippi","41,094","2,849",28105
"Russell County, Virginia","41,100","2,848",51167
"Henry County, Virginia","41,103","2,847",51089
"Columbia County, Arkansas","41,115","2,846",05027
"Hardeman County, Tennessee","41,138","2,844",47069
"Tillman County, Oklahoma","41,138","2,844",40141
"Calhoun County, Mississippi","41,142","2,843",28013
"Shannon County, Missouri","41,176","2,841",29203
"Tunica County, Mississippi","41,176","2,841",28143
"Cedar County, Missouri","41,211","2,840",29039
"Red River Parish, Louisiana","41,227","2,839",22081
"Wayne County, Kentucky","41,237","2,838",21231
"Covington City, Virginia","41,242","2,837",51580
"Jackson Parish, Louisiana","41,298","2,836",22049
"Sabine County, Texas","41,308","2,835",48403
"Cherokee County, South Carolina","41,330","2,834",45021
"Dodge County, Georgia","41,362","2,833",13091
"Hardee County, Florida","41,395","2,832",12049
"Wilcox County, Georgia","41,406","2,831",13315
"Colleton County, South Carolina","41,419","2,830",45029
"Carter County, Montana","41,447","2,829",30011
"Hall County, Texas","41,467","2,828",48191
"Johnson County, Kentucky","41,489","2,827",21115
"Tippah County, Mississippi","41,506","2,826",28139
"Edmonson County, Kentucky","41,533","2,825",21061
"Butte County, Idaho","41,552","2,824",16023
"Cocke County, Tennessee","41,558","2,823",47029
"Crisp County, Georgia","41,605","2,822",13081
"Colquitt County, Georgia","41,623","2,821",13071
"Morgan County, Kentucky","41,664","2,820",21175
"Monroe County, Arkansas","41,667","2,819",05095
"Greenbrier County, West Virginia","41,694","2,818",54025
"Jackson County, Illinois","41,699","2,817",17077
"Fairfield County, South Carolina","41,755","2,816",45039
"Martin County, North Carolina","41,798","2,815",37117
"Washington County, Florida","41,806","2,814",12133
"Holmes County, Florida","41,809","2,813",12059
"Whitley County, Kentucky","41,817","2,812",21235
"Worth County, Missouri","41,847","2,811",29227
"Russell County, Kentucky","41,851","2,810",21207
"Caldwell Parish, Louisiana","41,861","2,809",22021
"Jackson County, Tennessee","41,890","2,808",47087
"Lincoln County, Montana","41,922","2,807",30053
"Reynolds County, Missouri","41,925","2,806",29179
"Claiborne County, Tennessee","41,938","2,805",47025
"Gogebic County, Michigan","41,948","2,804",26053
"Bradley County, Arkansas","41,972","2,803",05011
"Edgecombe County, North Carolina","41,974","2,802",37065
"Graham County, North Carolina","41,977","2,801",37075
"West Carroll Parish, Louisiana","42,050","2,800",22123
"Harney County, Oregon","42,095","2,799",41025
"King County, Texas","42,125","2,798",48269
"Franklin County, Arkansas","42,128","2,797",05047
"Buena Vista City, Virginia","42,156","2,796",51530
"Dunklin County, Missouri","42,194","2,795",29069
"Trinity County, California","42,206","2,794",06105
"Dougherty County, Georgia","42,225","2,792",13095
"Randolph County, Arkansas","42,225","2,792",05121
"Catahoula Parish, Louisiana","42,232","2,791",22025
"Jefferson County, Georgia","42,238","2,790",13163
"Dickens County, Texas","42,241","2,789",48125
"Wayne County, Missouri","42,257","2,788",29223
"Barbour County, West Virginia","42,260","2,787",54001
"Ottawa County, Oklahoma","42,311","2,786",40115
"Irwin County, Georgia","42,312","2,785",13155
"Laurens County, Georgia","42,315","2,784",13175
"Acadia Parish, Louisiana","42,368","2,783",22001
"New Madrid County, Missouri","42,370","2,782",29143
"Carter County, Missouri","42,378","2,781",29035
"Carlisle County, Kentucky","42,386","2,780",21039
"Jones County, North Carolina","42,401","2,779",37103
"Hughes County, Oklahoma","42,425","2,778",40063
"Carroll County, Kentucky","42,433","2,777",21041
"Liberty County, Florida","42,438","2,776",12077
"Collingsworth County, Texas","42,446","2,775",48087
"Crawford County, Indiana","42,465","2,774",18025
"Braxton County, West Virginia","42,519","2,773",54007
"Johnson County, Tennessee","42,552","2,772",47091
"Scott County, Virginia","42,561","2,771",51169
"Smyth County, Virginia","42,588","2,770",51173
"Coke County, Texas","42,639","2,769",48081
"Pulaski County, Kentucky","42,652","2,768",21199
"Gadsden County, Florida","42,661","2,767",12039
"Nevada County, Arkansas","42,670","2,766",05099
"Ashley County, Arkansas","42,683","2,765",05003
"McNairy County, Tennessee","42,691","2,764",47109
"Dawson County, Texas","42,778","2,762",48115
"Kenedy County, Texas","42,778","2,762",48261
"Newton County, Arkansas","42,817","2,761",05101
"Assumption Parish, Louisiana","42,831","2,760",22007
"Poinsett County, Arkansas","42,854","2,759",05111
"Emanuel County, Georgia","42,880","2,758",13107
"Drew County, Arkansas","42,891","2,757",05043
"Pickett County, Tennessee","42,931","2,756",47137
"Tazewell County, Virginia","42,937","2,755",51185
"Nicholas County, West Virginia","42,946","2,754",54067
"Richland Parish, Louisiana","42,956","2,753",22083
"Marshall County, Mississippi","42,968","2,752",28093
"Telfair County, Georgia","42,971","2,751",13271
"Toombs County, Georgia","42,975","2,750",13279
"Okfuskee County, Oklahoma","43,000","2,749",40107
"Mineral County, Nevada","43,009","2,748",32021
